表情：🪪	身份证
表情：🪢	结
表情：🪢	打结
表情：💊	药丸
表情：🚪	门
表情：🛏	床
表情：🪑	椅子
表情：🛋	沙发
表情：🚽	马桶
表情：🚿	淋浴
表情：🛁	浴缸
表情：🧹	扫帚
表情：🧺	篮子
表情：🧻	卫生纸
表情：🧻	手纸
表情：🧼	香皂
表情：🧼	肥皂
表情：🧽	海绵
表情：🚬	香烟
表情：🚬	烟
表情：⚰️	棺材
表情：🚰	水龙头
表情：🧴	清洗
表情：🧴	洗洁精
表情：🎴	花札
表情：🔇	静音
表情：📢	扩音器
表情：🏧	ATM
表情：🏧	取款机
表情：🏧	提款机
表情：♿	轮椅
表情：🩼	拐杖
表情：🚻	休息室
表情：🚾	厕所
表情：⚠️	警告
表情：⚠️	注意
表情：⛔	禁止通行
表情：⛔	禁止
表情：🔞	18禁
表情：☢️	辐射
表情：☢️	放射
表情：💘	心
表情：💔	心碎
表情：🫀	心脏
表情：🫁	肺
表情：♨	温泉
表情：🛑	停
表情：🛑	停止
表情：🕛	表
表情：🕛	钟
表情：🕛	钟表
表情：📈	统计
表情：📈	趋势
表情：⬆	上
表情：⬇	下
表情：📈	上涨
表情：📉	下跌
表情：📈	增长
表情：📉	减少
表情：⬅	左
表情：➡	右
表情：⬆	箭头
表情：🛐	礼拜室
表情：🛕	寺庙
表情：🛕	庙
表情：⚛️	原子
表情：♾️	无穷
表情：♾️	无限
表情：🕉	宗教
表情：☯	太极
表情：☯	阴阳
表情：♒	水瓶座
表情：♓	双鱼座
表情：♈	白羊座
表情：♉	金牛座
表情：♊	双子座
表情：♋	巨蟹座
表情：♌	狮子座
表情：♍	处女座
表情：♎	天秤座
表情：♏	天蝎座
表情：♐	射手座
表情：♑	摩羯座
表情：🎦	电影院
表情：🔅	亮度
表情：📶	信号
表情：🛜	无线
表情：📳	震动
表情：📴	关机
表情：♻	循环
